Machine Name,MTC_Compressor
Point Name,RK1_B1Y
Comp,
Probe Angle,0° None
Amp Unit,µm pp
Speed Unit,rpm
Variable,1X
Amp,Amp Status,Phase,Phase Status,Speed,Speed Status,Timestamp
32.314,Valid,148,Valid,213,Valid,1/24/2019 12:33:29 AM
33.283,Valid,148,Valid,214,Valid,1/24/2019 12:33:36 AM
32.653,Valid,147,Valid,211,Valid,1/24/2019 12:33:44 AM
34.446,Valid,149,Valid,214,Valid,1/24/2019 12:33:56 AM
33.283,Valid,149,Valid,213,Valid,1/24/2019 12:34:02 AM
34.01,Valid,149,Valid,213,Valid,1/24/2019 12:34:11 AM
34.01,Valid,149,Valid,214,Valid,1/24/2019 12:34:28 AM
33.138,Valid,149,Valid,213,Valid,1/24/2019 12:34:38 AM
34.01,Valid,149,Valid,212,Valid,1/24/2019 12:34:42 AM
33.283,Valid,148,Valid,213,Valid,1/24/2019 12:34:49 AM
33.331,Valid,148,Valid,213,Valid,1/24/2019 12:35:02 AM
34.349,Valid,148,Valid,212,Valid,1/24/2019 12:35:07 AM
34.155,Valid,148,Valid,213,Valid,1/24/2019 12:35:21 AM
33.234,Valid,149,Valid,213,Valid,1/24/2019 12:35:36 AM
34.01,Valid,149,Valid,212,Valid,1/24/2019 12:35:45 AM
33.38,Valid,150,Valid,213,Valid,1/24/2019 12:35:54 AM
34.106,Valid,149,Valid,213,Valid,1/24/2019 12:36:06 AM
32.992,Valid,149,Valid,213,Valid,1/24/2019 12:36:16 AM
33.864,Valid,149,Valid,214,Valid,1/24/2019 12:36:27 AM
33.089,Valid,149,Valid,213,Valid,1/24/2019 12:36:39 AM
32.847,Valid,148,Valid,213,Valid,1/24/2019 12:36:40 AM
33.67,Valid,147,Valid,212,Valid,1/24/2019 12:36:58 AM
34.01,Valid,149,Valid,212,Valid,1/24/2019 12:37:01 AM
32.798,Valid,149,Valid,213,Valid,1/24/2019 12:37:17 AM
33.38,Valid,149,Valid,213,Valid,1/24/2019 12:37:20 AM
32.314,Valid,149,Valid,214,Valid,1/24/2019 12:37:24 AM
32.314,Valid,148,Valid,213,Valid,1/24/2019 12:37:46 AM
33.525,Valid,148,Valid,213,Valid,1/24/2019 12:37:59 AM
33.816,Valid,148,Valid,214,Valid,1/24/2019 12:38:07 AM
33.186,Valid,149,Valid,213,Valid,1/24/2019 12:38:15 AM
34.155,Valid,149,Valid,214,Valid,1/24/2019 12:38:25 AM
33.283,Valid,148,Valid,213,Valid,1/24/2019 12:38:33 AM
33.331,Valid,147,Valid,213,Valid,1/24/2019 12:38:40 AM
34.252,Valid,148,Valid,213,Valid,1/24/2019 12:38:50 AM
34.01,Valid,148,Valid,212,Valid,1/24/2019 12:39:04 AM
32.895,Valid,149,Valid,213,Valid,1/24/2019 12:39:08 AM
33.961,Valid,150,Valid,213,Valid,1/24/2019 12:39:25 AM
33.38,Valid,149,Valid,212,Valid,1/24/2019 12:39:37 AM
33.428,Valid,149,Valid,213,Valid,1/24/2019 12:39:52 AM
34.106,Valid,149,Valid,213,Valid,1/24/2019 12:39:55 AM
34.155,Valid,148,Valid,214,Valid,1/24/2019 12:40:06 AM
33.477,Valid,149,Valid,213,Valid,1/24/2019 12:40:08 AM
33.961,Valid,149,Valid,214,Valid,1/24/2019 12:40:22 AM
33.428,Valid,149,Valid,214,Valid,1/24/2019 12:40:37 AM
33.719,Valid,150,Valid,213,Valid,1/24/2019 12:40:40 AM
33.331,Valid,150,Valid,214,Valid,1/24/2019 12:40:55 AM
33.816,Valid,150,Valid,213,Valid,1/24/2019 12:41:01 AM
33.089,Valid,150,Valid,213,Valid,1/24/2019 12:41:17 AM
33.041,Valid,148,Valid,214,Valid,1/24/2019 12:41:34 AM
33.913,Valid,149,Valid,213,Valid,1/24/2019 12:41:38 AM
33.816,Valid,148,Valid,212,Valid,1/24/2019 12:41:47 AM
33.331,Valid,150,Valid,213,Valid,1/24/2019 12:41:56 AM
32.944,Valid,148,Valid,214,Valid,1/24/2019 12:42:04 AM
33.767,Valid,150,Valid,213,Valid,1/24/2019 12:42:13 AM
33.719,Valid,149,Valid,211,Valid,1/24/2019 12:42:21 AM
32.411,Valid,149,Valid,210,Valid,1/24/2019 12:42:39 AM
32.508,Valid,150,Valid,210,Valid,1/24/2019 12:42:42 AM
32.023,Valid,150,Valid,216,Valid,1/24/2019 12:42:44 AM
32.023,Valid,150,Valid,210,Valid,1/24/2019 12:42:45 AM
33.622,Valid,149,Valid,215,Valid,1/24/2019 12:42:51 AM
33.719,Valid,149,Valid,213,Valid,1/24/2019 12:42:51 AM
33.283,Valid,149,Valid,215,Valid,1/24/2019 12:42:52 AM
32.75,Valid,151,Valid,212,Valid,1/24/2019 12:43:00 AM
33.138,Valid,150,Valid,212,Valid,1/24/2019 12:43:02 AM
33.186,Valid,150,Valid,212,Valid,1/24/2019 12:43:04 AM
32.847,Valid,149,Valid,211,Valid,1/24/2019 12:43:12 AM
33.186,Valid,150,Valid,214,Valid,1/24/2019 12:43:19 AM
